eval_idx,dataset_idx,method,noise_strength,n_povs,unified_score,mean_bbox_iou,mean_camera_similarity,detection_f1,count_accuracy
7,7,refinement,0.5,7,0.28277135880729165,0.0012048363555648672,,0.22535211267605632,0.0
7,7,refinement,0.8,0,0.28219344378471417,0.010640284855126969,,0.18823529411764708,0.0
7,7,refinement,0.8,1,0.3004480753622645,0.012282278308591844,,0.4418604651162791,0.0
7,7,refinement,0.8,2,0.3139034991851084,0.016203920594438353,,0.3488372093023256,0.125
7,7,refinement,0.8,3,0.34841864968559366,0.004796287586004257,,0.38461538461538464,0.14285714285714285
7,7,refinement,0.8,4,0.2913706786497525,0.005960949804868179,,0.2857142857142857,0.125
7,7,refinement,0.8,5,0.28804621212100584,0.0021958705885431746,,0.26530612244897955,0.0
7,7,refinement,0.8,6,0.309591283044513,0.0038916223555164596,,0.25,0.125
7,7,refinement,0.8,7,0.2988710750567139,0.023084420221705183,,0.2894736842105263,0.125
8,8,accumulation,N/A,0,0.32960075987210957,0.014336332992845107,,0.29906542056074764,0.0
8,8,accumulation,N/A,1,0.2743271986051452,0.09359176949387514,,0.13333333333333333,0.0
8,8,accumulation,N/A,2,0.30192593608096774,0.23193967857634182,,0.2857142857142857,0.3333333333333333
8,8,accumulation,N/A,3,0.4047651009997844,0.4108815128019718,,0.1904761904761905,0.3333333333333333
8,8,accumulation,N/A,4,0.3634888960196031,0.09505777542082537,,0.25,0.3333333333333333
8,8,accumulation,N/A,5,0.3141974206185353,0.24106842343752374,,0.1739130434782609,0.16666666666666666
8,8,accumulation,N/A,6,0.30390057269290593,0.06003319946717537,,0.3870967741935484,0.16666666666666666
8,8,accumulation,N/A,7,0.3362832324115022,0.15557432799279192,,0.16666666666666666,0.3333333333333333
8,8,refinement,0.5,0,0.32960075987210957,0.014336332992845107,,0.29906542056074764,0.0
8,8,refinement,0.5,1,0.3341981211122209,0.02662266332308627,,0.3368421052631579,0.0
8,8,refinement,0.5,2,0.3440536499702431,0.021623191006688386,,0.4047619047619047,0.0
8,8,refinement,0.5,3,0.3293173090624814,0.007052612726059199,,0.29885057471264365,0.0
8,8,refinement,0.5,4,0.3435742418159681,0.03408597925985942,,0.38297872340425526,0.0
8,8,refinement,0.5,5,0.34513103986624605,0.009853469629460628,,0.417910447761194,0.0
8,8,refinement,0.5,6,0.34866199733257036,0.03565440679259059,,0.3880597014925374,0.0
8,8,refinement,0.5,7,0.3458710137794959,0.023502930183749302,,0.4117647058823529,0.0
8,8,refinement,0.8,0,0.32960075987210957,0.014336332992845107,,0.29906542056074764,0.0
8,8,refinement,0.8,1,0.3743248054064455,0.024099322766766917,,0.4383561643835616,0.125
8,8,refinement,0.8,2,0.3585590881796956,0.022007691042351493,,0.42307692307692313,0.0
8,8,refinement,0.8,3,0.3680884822796514,0.03245597604724593,,0.31884057971014496,0.0
8,8,refinement,0.8,4,0.3358950557200494,0.025146341508177093,,0.4255319148936171,0.0
8,8,refinement,0.8,5,0.3532533210662845,0.031256510826535557,,0.2857142857142857,0.0
8,8,refinement,0.8,6,0.32074848917300725,0.02171645391928324,,0.3,0.0
8,8,refinement,0.8,7,0.3501236736437709,0.016651213124635165,,0.4210526315789474,0.125
9,9,accumulation,N/A,0,0.19756193517967963,0.09946660183519529,,0.026666666666666665,0.0
9,9,accumulation,N/A,1,0.5592540354631879,0.18425210534257086,,0.8,0.5
9,9,accumulation,N/A,2,0.5197738969381516,0.16079635285937677,,0.8,0.5
9,9,accumulation,N/A,3,0.500137821788069,0.2760640519687316,,0.6666666666666666,0.0
9,9,accumulation,N/A,4,0.5414829421032644,0.2218928887225694,,0.5,0.5
9,9,accumulation,N/A,5,0.42718607404566805,0.16370143880686647,,0.6666666666666666,0.0
9,9,accumulation,N/A,6,0.36128006057370277,0.23820315636290648,,0.5,0.0
9,9,accumulation,N/A,7,0.3319331037079087,0.20076469991130108,,0.33333333333333337,0.0
9,9,refinement,0.5,0,0.19756193517967963,0.09946660183519529,,0.026666666666666665,0.0
9,9,refinement,0.5,1,0.1815172900494521,0.09380124395792017,,0.033613445378151266,0.0
9,9,refinement,0.5,2,0.20395288126949263,0.0912695675266064,,0.047058823529411764,0.0
9,9,refinement,0.5,3,0.17299331241617,0.08002418625160039,,0.04597701149425288,0.0
9,9,refinement,0.5,4,0.19272296669845507,0.008065218337759911,,0.04081632653061225,0.0
9,9,refinement,0.5,5,0.19083011729987048,0.0,,0.048192771084337345,0.0
9,9,refinement,0.5,6,0.19864675335534232,0.0,,0.05714285714285715,0.0
9,9,refinement,0.5,7,0.19683744439897705,0.0,,0.05,0.0
9,9,refinement,0.8,0,0.19756193517967963,0.09946660183519529,,0.026666666666666665,0.0
9,9,refinement,0.8,1,0.23673355419351572,0.17822236352004833,,0.08695652173913042,0.0
9,9,refinement,0.8,2,0.2814635706165614,0.18955987101679836,,0.13333333333333336,0.2
9,9,refinement,0.8,3,0.2586982186203722,0.0470348024485293,,0.15384615384615385,0.0
9,9,refinement,0.8,4,0.25448889601900054,0.09700960299854586,,0.09999999999999999,0.0
9,9,refinement,0.8,5,0.2659173994871693,0.23243332725292332,,0.13333333333333336,0.0
9,9,refinement,0.8,6,0.2032890621388739,0.06658503239120808,,0.33333333333333337,0.0
9,9,refinement,0.8,7,0.2340892453403838,0.16182285379716735,,0.2666666666666667,0.0
10,10,accumulation,N/A,0,0.21456448245635895,0.06101885739913184,,0.031007751937984496,0.0
10,10,accumulation,N/A,1,0.33825496642591973,0.20473561659107598,,0.4444444444444445,0.0
10,10,accumulation,N/A,2,0.48980845137539863,0.22192279539991888,,0.6666666666666666,0.0
10,10,accumulation,N/A,3,0.29302726148178354,0.055594494296862675,,0.4,0.0
10,10,accumulation,N/A,4,0.4126875968229453,0.38786272240577985,,0.5,0.0
10,10,accumulation,N/A,5,0.43228168090142693,0.6710390062132652,,0.28571428571428575,0.0
10,10,accumulation,N/A,6,0.30422072100738995,0.09795103320671855,,0.4,0.0
10,10,accumulation,N/A,7,0.19825531762257384,0.23208460646541934,,0.0689655172413793,0.0
10,10,refinement,0.5,0,0.21456448245635895,0.06101885739913184,,0.031007751937984496,0.0
10,10,refinement,0.5,1,0.21673042079118066,0.06622698738578661,,0.04166666666666667,0.0
10,10,refinement,0.5,2,0.2179521736988561,0.06139366861200728,,0.04597701149425288,0.0
10,10,refinement,0.5,3,0.21909004329917992,0.07380852336329032,,0.04395604395604395,0.0
10,10,refinement,0.5,4,0.21811946348180955,0.06931368450363642,,0.0449438202247191,0.0
10,10,refinement,0.5,5,0.21937690766124948,0.07652120917069463,,0.048192771084337345,0.0
10,10,refinement,0.5,6,0.21795357587021996,0.07611705510626313,,0.047058823529411764,0.0
10,10,refinement,0.5,7,0.21593740017414004,0.07514584289176514,,0.05405405405405406,0.0
10,10,refinement,0.8,0,0.21456448245635895,0.06101885739913184,,0.031007751937984496,0.0
10,10,refinement,0.8,1,0.2128066603655298,0.11854470470529506,,0.08888888888888888,0.0
10,10,refinement,0.8,2,0.21112210511113338,0.1195534568686896,,0.09523809523809523,0.0
10,10,refinement,0.8,3,0.2085529527328458,0.12442904064221734,,0.0625,0.0
10,10,refinement,0.8,4,0.2137823023838647,0.13187286844644006,,0.09302325581395349,0.0
10,10,refinement,0.8,5,0.2195957654266592,0.12058862558257209,,0.1,0.0
10,10,refinement,0.8,6,0.223539280873348,0.12242430261369054,,0.11764705882352941,0.0
10,10,refinement,0.8,7,0.18706543999748984,0.10822683625196555,,0.09756097560975609,0.0
11,11,accumulation,N/A,0,0.29412610407634526,0.001069407080592659,,0.2857142857142857,0.0
11,11,accumulation,N/A,1,0.2904709746088123,0.004070450810646063,,0.37837837837837834,0.0
11,11,accumulation,N/A,2,0.3432314144127535,0.023965860765630485,,0.5494505494505494,0.0
11,11,accumulation,N/A,3,0.3425844544606951,0.0051228586936761964,,0.3356643356643356,0.125
11,11,accumulation,N/A,4,0.35754380387348017,0.0,,0.4594594594594595,0.0
11,11,accumulation,N/A,5,0.3494093199962163,0.00038392227789418973,,0.36496350364963503,0.125
11,11,accumulation,N/A,6,0.35296326099514375,0.010859788258276529,,0.4262295081967213,0.14285714285714285
11,11,accumulation,N/A,7,0.4142162503953515,0.002855309134442345,,0.5736434108527132,0.0
11,11,refinement,0.5,0,0.29412610407634526,0.001069407080592659,,0.2857142857142857,0.0
11,11,refinement,0.5,1,0.29909886757322224,0.005843630977762647,,0.3333333333333333,0.0
11,11,refinement,0.5,2,0.30166982882473736,0.007632163861342261,,0.3076923076923077,0.0
11,11,refinement,0.5,3,0.3000502147186037,0.008804154440538786,,0.31506849315068497,0.0
11,11,refinement,0.5,4,0.2939927780445828,0.012362170236285244,,0.2658227848101266,0.0
11,11,refinement,0.5,5,0.3130662313111026,0.007902429866117095,,0.41481481481481475,0.0
11,11,refinement,0.5,6,0.3179546294066413,0.012764224316812608,,0.302158273381295,0.125
11,11,refinement,0.5,7,0.33811946202820253,0.002401660141087434,,0.3969465648854961,0.125
11,11,refinement,0.8,0,0.29412610407634526,0.001069407080592659,,0.2857142857142857,0.0
11,11,refinement,0.8,1,0.2930297261643145,0.0002046388219820691,,0.39622641509433965,0.0
11,11,refinement,0.8,2,0.29359802520297723,0.002399302550287551,,0.4329896907216495,0.0
11,11,refinement,0.8,3,0.3364360169633883,0.0021779071568948506,,0.4461538461538462,0.0
11,11,refinement,0.8,4,0.3357153316487671,0.002167284688775072,,0.37349397590361444,0.0
11,11,refinement,0.8,5,0.32269863782097236,0.0020724887677606688,,0.3684210526315789,0.0
11,11,refinement,0.8,6,0.30986345328559833,0.0,,0.366412213740458,0.0
11,11,refinement,0.8,7,0.32670194797352786,0.001055730206975018,,0.37606837606837606,0.0
12,12,accumulation,N/A,0,0.28284358363463535,0.011880823815935191,,0.2727272727272727,0.0
