experiment,method,n_povs,noise_strength,n_samples,unified_score_mean,unified_score_std,mean_bbox_iou_mean,mean_bbox_iou_std,detection_f1_mean,detection_f1_std,count_accuracy_mean,count_accuracy_std
DN-Large (Graph),refinement,2,0.8,192,0.34731131918185937,0.11224878201335516,0.09273324978346846,0.13929250429869464,0.39411416869338317,0.2028600449848074,0.12292286706349205,0.23678755350162273
DN-Large (Graph),refinement,3,0.5,192,0.3440819101228792,0.1125166907135664,0.09085774560036503,0.13714470140201193,0.4026499600439917,0.21626758359039658,0.1315724206349206,0.21732036908798305
DN-Large (Graph),refinement,3,0.8,192,0.34195410530706916,0.1048715019955979,0.08596537341876775,0.13673841664152886,0.38813481638260455,0.19218862023878652,0.11251240079365077,0.22136559683815607
DN-Large (Graph),refinement,4,0.5,192,0.3450362967843407,0.11099283493586476,0.09322693778699757,0.1418219156662354,0.40668239790471206,0.22258528519712079,0.13165302579365076,0.21929663090471796
DN-Large (Graph),refinement,4,0.8,192,0.3517437552494937,0.11089133129683613,0.08488842442540435,0.13308072544951388,0.39097053396397324,0.2070471098889864,0.13692956349206345,0.24111719598835696
DN-Large (Graph),refinement,5,0.5,192,0.3393274369436417,0.10987631965742765,0.09146215825191327,0.13989527436513996,0.39583150290474217,0.21254176405870687,0.11849578373015872,0.2143081469876604
DN-Large (Graph),refinement,5,0.8,192,0.3495237231024577,0.10469523700186263,0.0882453455435707,0.13641584816187566,0.38784937490518995,0.19832275733238247,0.1277219742063492,0.2191708060926289
DN-Large (Graph),refinement,6,0.5,192,0.3417313191787126,0.10485573714080183,0.08942929863635067,0.13763261846836147,0.4037581633271765,0.20813394583799336,0.11551339285714285,0.19558757912458707
DN-Large (Graph),refinement,6,0.8,192,0.34233298557705966,0.10721187334016942,0.09004004594825377,0.139944636816514,0.3753552996136862,0.19333596594122687,0.10670882936507936,0.2199428890558078
DN-Large (Graph),refinement,7,0.5,192,0.3402310774255577,0.10559196121192772,0.08855885466757102,0.1372162958241827,0.3913330012639425,0.20816321408921495,0.12769097222222223,0.2071565220428521
DN-Large (Graph),refinement,7,0.8,192,0.3452376197882286,0.11175190754998424,0.08969299669327835,0.14046424564618637,0.3844956710708418,0.20395889546061366,0.103937251984127,0.22844415303635354
DN-Large (Graph),accumulation,0,,192,0.3393116715992735,0.1099459058208554,0.08846141572907253,0.13909763493208666,0.38398527432457547,0.21306635003313595,0.12020709325396824,0.21344207857921133
DN-Large (Graph),accumulation,1,,192,0.3364345270428201,0.08610163381858274,0.07511996572607992,0.12107042835317636,0.3759589910744186,0.20082053429995825,0.10359002976190475,0.19451242283786963
DN-Large (Graph),accumulation,2,,192,0.34769128406786437,0.09150989540447826,0.07116308671890488,0.1271613917048075,0.3920820007035588,0.1956379638340766,0.11130952380952379,0.21267120809240034
DN-Large (Graph),accumulation,3,,192,0.33747223588619263,0.07826388164296147,0.06529907404391393,0.11428455616820106,0.3606832085675509,0.16794325606858931,0.09409722222222222,0.16292915625489854
DN-Large (Graph),accumulation,4,,192,0.3450382217298789,0.09466447818153698,0.07631756414737308,0.1176338967746105,0.3919471291416736,0.19853851269805922,0.09799107142857143,0.19600878835463176
DN-Large (Graph),accumulation,5,,192,0.34152780786179715,0.08578087423173332,0.0844966627090314,0.1339876688798822,0.3771088375137124,0.16934292628646477,0.11103050595238094,0.20365583630645567
DN-Large (Graph),accumulation,6,,192,0.3477456635813811,0.09074295367714182,0.08716671529438107,0.1366323288888824,0.38415196657683454,0.1885979294886496,0.09706721230158731,0.18092215202684458
DN-Large (Graph),accumulation,7,,192,0.34917408530234767,0.10056585875204374,0.088153903361521,0.13021526474109504,0.3919680384739917,0.20076856595198284,0.11101810515873016,0.2184703951235182
DN-Large (Graph),refinement,0,0.5,192,0.3393116715992735,0.1099459058208554,0.08846141572907253,0.13909763493208666,0.38398527432457547,0.21306635003313595,0.12020709325396824,0.21344207857921133
DN-Large (Graph),refinement,0,0.8,192,0.3393116715992735,0.1099459058208554,0.08846141572907253,0.13909763493208666,0.38398527432457547,0.21306635003313595,0.12020709325396824,0.21344207857921133
DN-Large (Graph),refinement,1,0.5,192,0.339575058948321,0.11037890532851741,0.09305290322547073,0.13981289979809808,0.39102551939494606,0.21305639179824618,0.12781498015873013,0.21109930566774757
DN-Large (Graph),refinement,1,0.8,192,0.34232390653299466,0.10365268179983161,0.0895360236529979,0.13665964481612233,0.38827984351150496,0.19792880143262148,0.10884796626984126,0.21083795794817606
DN-Large (Graph),refinement,2,0.5,192,0.34014546172103716,0.11223169694739504,0.09285705002936002,0.140245287081821,0.39466227762863193,0.21031016237969516,0.1276971726190476,0.22874639220530893
DN-Large (Graph),refinement,2,0.8,192,0.34731131918185937,0.11224878201335516,0.09273324978346846,0.13929250429869464,0.39411416869338317,0.2028600449848074,0.12292286706349205,0.23678755350162273
DN-Large (Graph),refinement,3,0.5,192,0.3440819101228792,0.1125166907135664,0.09085774560036503,0.13714470140201193,0.4026499600439917,0.21626758359039658,0.1315724206349206,0.21732036908798305
DN-Large (Graph),refinement,3,0.8,192,0.34195410530706916,0.1048715019955979,0.08596537341876775,0.13673841664152886,0.38813481638260455,0.19218862023878652,0.11251240079365077,0.22136559683815607
DN-Large (Graph),refinement,4,0.5,192,0.3450362967843407,0.11099283493586476,0.09322693778699757,0.1418219156662354,0.40668239790471206,0.22258528519712079,0.13165302579365076,0.21929663090471796
